City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
124,Geraldton,AU,61.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
126,Cocachacra,PE,69.39,overcast clouds,-17.0883,-71.7575,Hospedaje - El Refugio
127,Laguna,US,68.29,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
130,Hargeysa,SO,64.67,broken clouds,9.56,44.065,City Center Hotel
131,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
133,Meulaboh,ID,74.84,overcast clouds,4.1363,96.1285,Kost Pria
136,Nishihara,JP,61.88,broken clouds,26.1842,127.7558,Minshuku Agaihama
141,Sesheke,ZM,74.91,clear sky,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
148,Saint-Pierre,RE,75.56,clear sky,-21.3393,55.4781,Lindsey Hôtel
152,Labuhan,ID,79.11,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
162,Grand Gaube,MU,76.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
169,Luau,AO,63.55,moderate rain,-10.7073,22.2247,Casa- Bernardo Cândido
171,Saldanha,ZA,63.09,clear sky,-33.0117,17.9442,Blue Bay Lodge
174,Hirara,JP,70.77,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
183,Saint-Philippe,RE,75.47,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
184,Bredasdorp,ZA,60.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
185,Cidreira,BR,68.72,clear sky,-30.1811,-50.2056,Hotel Castelo
186,Benjamin Constant,BR,78.93,light rain,-4.3831,-70.0311,CASA AVALIADA
188,Port Alfred,ZA,61.84,overcast clouds,-33.5906,26.891,The Halyards Hotel
190,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
191,Namibe,AO,69.94,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
192,Chicama,PE,63.14,broken clouds,-7.8447,-79.1469,Balihai Bungalows
196,Bama,NG,77.88,clear sky,11.5221,13.6856,UN Humanitarian Hub
197,Ulverstone,AU,60.3,clear sky,-41.15,146.1667,Westella Colonial Bed & Breakfast
198,Lubango,AO,62.06,clear sky,-14.9172,13.4925,Hotel Serra da Chela
207,Port Elizabeth,ZA,62.89,light rain,-33.918,25.5701,39 On Nile Guest House
209,Otane,NZ,65.39,few clouds,-39.8833,176.6333,Ludlow Farmstay
213,Iquique,CL,66.24,broken clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
217,New Norfolk,AU,62.74,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
218,Saquarema,BR,75.34,clear sky,-22.92,-42.5103,Hotel Fazenda Sol e Lua
219,Ormara,PK,77.0,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
221,Los Llanos De Aridane,ES,67.75,volcanic ash,28.6585,-17.9182,Valle Aridane
224,Mosquera,CO,62.69,scattered clouds,4.7059,-74.2302,Hotel SJ
227,Iberia,US,74.05,broken clouds,29.9502,-91.7507,back to back rv park
230,Keti Bandar,PK,75.2,few clouds,24.1447,67.4497,Haji laloo memon house
231,Saint George,US,61.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
235,Prieska,ZA,69.21,broken clouds,-29.6641,22.7474,Avenue GuestHouse
237,Alfenas,BR,74.86,overcast clouds,-21.4292,-45.9472,Hotel Plaza
241,Phuket,TH,79.02,scattered clouds,8.0,98.25,The Surin
245,Caravelas,BR,75.29,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
246,Antalaha,MG,72.03,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
252,Eseka,CM,73.4,light rain,3.65,10.7667,Complexe Hotelier Ndjiki Mpeck Eseka II
254,Fairhope,US,69.15,scattered clouds,30.523,-87.9033,Hampton Inn Fairhope-Mobile Bay
255,Kuah,MY,78.78,few clouds,6.3265,99.8432,Azio Hotel
259,Kaduqli,SD,77.5,clear sky,11.0167,29.7167,فندق الله جابو
264,Hoa Binh,VN,60.69,few clouds,20.8133,105.3383,Hoa Dao Hotel
265,Victoria,HK,67.32,clear sky,22.2855,114.1577,Mini Hotel Central
267,Georgetown,MY,76.95,thunderstorm with light rain,5.4112,100.3354,Cititel Penang
271,Celestun,MX,79.02,clear sky,20.8667,-90.4,Posada Lilia
275,Maua,BR,70.36,broken clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
276,Sao Filipe,CV,79.38,scattered clouds,14.8961,-24.4956,Hotel Xaguate
279,Marawi,PH,66.65,overcast clouds,7.9986,124.2928,Derogongan Residence
280,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
281,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
282,Khirkiya,IN,69.64,clear sky,22.1674,76.8605,Sanjay Industries
285,Koumac,NC,76.3,overcast clouds,-20.5667,164.2833,Le Monitel
286,Morro Bay,US,75.99,clear sky,35.3658,-120.8499,Inn at Morro Bay
288,Cilegon,ID,78.69,overcast clouds,-6.0174,106.0538,Amaris Hotel Cilegon
291,Pleasanton,US,67.91,clear sky,37.6624,-121.8747,Four Points by Sheraton Pleasanton
