City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Thunder Bay,CA,48.4001,-89.3168,35.29,77,94,8.01,overcast clouds
151,Semikarakorsk,RU,47.5194,40.8112,23.81,59,0,4.34,clear sky
152,Labuhan,ID,-6.8844,112.2051,79.11,84,92,6.71,overcast clouds
153,Shingu,JP,33.7333,135.9833,46.49,77,6,5.97,clear sky
154,Prykolotne,UA,50.1604,37.3474,23.85,56,8,11.7,clear sky
155,Saint Anthony,US,45.0205,-93.218,44.55,65,1,5.99,clear sky
156,Katsuura,JP,35.1333,140.3,46.51,68,0,9.66,clear sky
157,Shaghat,AM,39.5625,45.9143,39.9,80,97,1.79,overcast clouds
158,Cookeville,US,36.1628,-85.5016,58.71,31,1,3.0,clear sky
159,Lethem,GY,3.3803,-59.7968,87.46,50,98,8.41,overcast clouds
160,Bratsk,RU,56.1325,101.6142,16.29,95,80,3.87,broken clouds
161,Tateyama,JP,34.9833,139.8667,46.42,63,0,12.44,clear sky
162,Grand Gaube,MU,-20.0064,57.6608,76.37,74,18,3.0,few clouds
163,Jiuquan,CN,39.7432,98.5174,27.07,44,2,2.15,clear sky
164,La Plata,AR,-34.9215,-57.9545,94.03,21,12,5.97,few clouds
165,Pangai,TO,-19.8,-174.35,84.31,65,20,4.61,few clouds
166,Fort Nelson,CA,58.8053,-122.7002,-6.21,84,90,0.0,light snow
167,Port Hedland,AU,-20.3167,118.5667,80.65,24,100,8.05,overcast clouds
168,Polyarnyy,RU,69.1989,33.4478,1.87,77,95,1.14,light snow
169,Luau,AO,-10.7073,22.2247,63.55,97,100,4.56,moderate rain
170,Izmalkovo,RU,52.6887,37.964,28.24,93,99,19.37,light snow
171,Saldanha,ZA,-33.0117,17.9442,63.09,70,0,16.35,clear sky
172,Wadi Musa,JO,30.3222,35.4793,54.27,51,91,2.15,overcast clouds
173,Kodiak,US,57.79,-152.4072,22.51,63,90,14.97,overcast clouds
174,Hirara,JP,24.8,125.2833,70.77,65,95,12.84,overcast clouds
175,Zhanakorgan,KZ,43.9098,67.2495,46.6,49,20,13.98,few clouds
176,Leh,IN,34.1667,77.5833,20.28,81,95,1.39,overcast clouds
177,Chifeng,CN,42.2683,118.9636,24.01,62,4,6.26,clear sky
178,Skibbereen,IE,51.55,-9.2667,37.2,74,7,15.19,clear sky
179,Sertanopolis,BR,-23.0586,-51.0364,91.47,39,70,3.74,broken clouds
180,Malko Tarnovo,BG,41.9833,27.5333,37.38,78,86,6.15,overcast clouds
181,Vrangel,RU,42.7297,133.0839,24.21,58,10,13.04,clear sky
182,Dikson,RU,73.5069,80.5464,5.79,89,100,10.02,overcast clouds
183,Saint-Philippe,RE,-21.3585,55.7679,75.47,80,9,8.75,clear sky
184,Bredasdorp,ZA,-34.5322,20.0403,60.28,68,2,14.38,clear sky
185,Cidreira,BR,-30.1811,-50.2056,68.72,69,0,16.67,clear sky
186,Benjamin Constant,BR,-4.3831,-70.0311,78.93,88,75,2.3,light rain
187,Saint-Prosper,CA,46.2117,-70.4811,28.71,51,0,8.39,clear sky
188,Port Alfred,ZA,-33.5906,26.891,61.84,74,85,10.74,overcast clouds
189,Powell River,CA,49.8496,-124.5361,45.28,93,90,13.8,mist
190,Pisco,PE,-13.7,-76.2167,69.85,73,0,13.8,clear sky
191,Namibe,AO,-15.1961,12.1522,69.94,61,7,9.75,clear sky
192,Chicama,PE,-7.8447,-79.1469,63.14,64,84,10.04,broken clouds
193,Araouane,ML,18.9048,-3.5265,79.72,27,3,8.93,clear sky
194,Terrace Bay,CA,48.7834,-87.1,39.7,77,100,8.66,overcast clouds
195,Mariakani,KE,-3.8633,39.4736,80.69,96,53,3.4,broken clouds
196,Bama,NG,11.5221,13.6856,77.88,23,0,8.14,clear sky
197,Ulverstone,AU,-41.15,146.1667,60.3,67,4,4.94,clear sky
198,Lubango,AO,-14.9172,13.4925,62.06,44,6,3.56,clear sky
199,Bodden Town,KY,19.2833,-81.25,82.4,74,40,11.01,scattered clouds
200,Luderitz,NA,-26.6481,15.1594,61.29,81,0,14.41,clear sky
201,Paamiut,GL,61.994,-49.6678,35.31,98,100,19.77,moderate rain
202,Chumikan,RU,54.7183,135.315,18.36,95,100,8.19,snow
203,Taoudenni,ML,22.6783,-3.9836,82.26,32,100,7.83,overcast clouds
204,Bethanien,NA,-26.502,17.1583,73.69,24,0,8.25,clear sky
205,Kozhevnikovo,RU,56.2589,83.9714,9.12,100,98,4.38,overcast clouds
206,Vestmannaeyjar,IS,63.4427,-20.2734,34.43,65,100,9.37,overcast clouds
207,Port Elizabeth,ZA,-33.918,25.5701,62.89,77,40,10.36,light rain
208,Kieta,PG,-6.2167,155.6333,82.13,70,21,3.53,few clouds
209,Otane,NZ,-39.8833,176.6333,65.39,55,23,5.32,few clouds
210,Maihar,IN,24.2667,80.75,59.83,36,1,1.34,clear sky
211,Faanui,PF,-16.4833,-151.75,80.96,73,7,7.31,clear sky
212,Pangnirtung,CA,66.1451,-65.7125,19.4,73,90,6.91,light snow
213,Iquique,CL,-20.2208,-70.1431,66.24,68,68,6.71,broken clouds
214,Tres Lagoas,BR,-20.7511,-51.6783,88.7,38,100,6.62,overcast clouds
215,Bubaque,GW,11.2833,-15.8333,82.89,77,32,11.05,scattered clouds
216,Newport,GB,51.5877,-2.9984,45.77,89,100,4.38,overcast clouds
217,New Norfolk,AU,-42.7826,147.0587,62.74,52,8,5.01,clear sky
218,Saquarema,BR,-22.92,-42.5103,75.34,85,8,6.85,clear sky
219,Ormara,PK,25.2088,64.6357,77.0,53,3,4.03,clear sky
220,Abapo,BO,-18.8333,-63.4667,80.4,54,100,6.73,overcast clouds
221,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,82,40,11.99,volcanic ash
222,Tucupita,VE,9.0622,-62.051,81.77,76,97,4.79,overcast clouds
223,Brunswick,US,41.2381,-81.8418,48.13,49,75,10.0,broken clouds
224,Mosquera,CO,4.7059,-74.2302,62.69,67,40,4.61,scattered clouds
225,Nisia Floresta,BR,-6.0911,-35.2086,83.21,78,9,11.25,clear sky
226,Portland,US,45.5234,-122.6762,49.77,88,90,1.01,overcast clouds
227,Iberia,US,29.9502,-91.7507,74.05,53,75,11.5,broken clouds
228,Lavrentiya,RU,65.5833,-171.0,-4.88,91,24,8.01,few clouds
229,Kushiro,JP,42.975,144.3747,37.09,67,50,11.59,scattered clouds
230,Keti Bandar,PK,24.1447,67.4497,75.2,79,21,7.99,few clouds
231,Saint George,US,37.1041,-113.5841,61.27,17,1,4.0,clear sky
232,Kandi,BJ,11.1342,2.9386,81.72,25,99,2.84,overcast clouds
233,Ardesen,TR,41.1911,40.9875,48.16,83,100,0.34,overcast clouds
234,Santa Rosa,PH,14.3122,121.1114,80.11,92,100,7.7,overcast clouds
235,Prieska,ZA,-29.6641,22.7474,69.21,29,51,13.04,broken clouds
236,Sandomierz,PL,50.6827,21.749,39.65,82,9,3.0,clear sky
237,Alfenas,BR,-21.4292,-45.9472,74.86,61,100,3.74,overcast clouds
238,Billings,US,45.7833,-108.5007,39.92,83,75,5.75,snow
239,Santa Maria,BR,-29.6842,-53.8069,81.09,37,4,8.05,clear sky
240,Jizan,SA,17.3333,42.6667,81.54,70,35,5.17,scattered clouds
241,Phuket,TH,8.0,98.25,79.02,89,40,3.44,scattered clouds
242,San Pedro Buenavista,MX,16.0833,-93.1167,85.69,46,67,2.95,broken clouds
243,Yellowknife,CA,62.456,-114.3525,4.41,91,90,9.22,light snow
244,Rundu,NA,-17.9333,19.7667,76.91,14,0,4.12,clear sky
245,Caravelas,BR,-17.7125,-39.2481,75.29,82,98,5.39,overcast clouds
246,Antalaha,MG,-14.9003,50.2788,72.03,86,45,3.33,scattered clouds
247,Makakilo City,US,21.3469,-158.0858,82.72,52,75,5.75,broken clouds
248,Jiayuguan,CN,39.8167,98.3,27.84,30,2,3.44,clear sky
249,Adrar,MR,20.5022,-10.0711,80.51,28,100,5.73,overcast clouds
250,Zhuanghe,CN,39.7008,122.9911,31.66,65,0,6.13,clear sky
251,Honiara,SB,-9.4333,159.95,82.0,77,45,6.44,scattered clouds
252,Eseka,CM,3.65,10.7667,73.4,98,45,2.13,light rain
253,Muyezerskiy,RU,63.9333,31.65,15.04,96,97,5.01,overcast clouds
254,Fairhope,US,30.523,-87.9033,69.15,63,40,4.0,scattered clouds
255,Kuah,MY,6.3265,99.8432,78.78,89,20,0.0,few clouds
256,Samokov,BG,42.3333,23.55,38.03,91,52,2.89,broken clouds
257,Ixtapa,MX,20.7,-105.2,84.22,65,20,9.22,few clouds
258,Semey,KZ,50.4111,80.2275,38.01,86,100,18.68,moderate rain
259,Kaduqli,SD,11.0167,29.7167,77.5,20,0,11.56,clear sky
260,Kotka,FI,60.4664,26.9458,29.46,78,100,4.25,overcast clouds
261,Nanortalik,GL,60.1432,-45.2371,39.56,96,100,15.39,moderate rain
262,Inuvik,CA,68.3499,-133.7218,-29.83,100,89,2.53,overcast clouds
263,Beloha,MG,-25.1667,45.05,69.28,71,82,6.13,broken clouds
264,Hoa Binh,VN,20.8133,105.3383,60.69,86,19,3.11,few clouds
265,Victoria,HK,22.2855,114.1577,67.32,74,3,4.0,clear sky
266,Brae,GB,60.3964,-1.353,42.71,70,79,33.38,broken clouds
267,Georgetown,MY,5.4112,100.3354,76.95,95,40,2.3,thunderstorm with light rain
268,Superior,US,46.7208,-92.1041,37.22,76,1,16.11,clear sky
269,Bonavista,CA,48.6499,-53.1147,48.2,98,100,21.63,overcast clouds
270,Kenai,US,60.5544,-151.2583,16.14,85,75,4.61,light snow
271,Celestun,MX,20.8667,-90.4,79.02,56,3,14.03,clear sky
272,Axim,GH,4.8699,-2.2405,80.17,85,66,6.4,broken clouds
273,Naze,JP,28.3667,129.4833,57.52,65,10,4.99,clear sky
274,Mumford,GH,5.2618,-0.759,80.98,83,8,8.79,clear sky
275,Maua,BR,-23.6678,-46.4614,70.36,90,55,8.77,broken clouds
276,Sao Filipe,CV,14.8961,-24.4956,79.38,68,36,2.84,scattered clouds
277,Ibimirim,BR,-8.5406,-37.6903,91.65,25,50,6.13,scattered clouds
278,Makat,KZ,47.6469,53.3463,21.85,76,12,11.56,few clouds
279,Marawi,PH,7.9986,124.2928,66.65,92,100,1.79,overcast clouds
280,Vila Velha,BR,-20.3297,-40.2925,76.95,85,40,8.01,scattered clouds
281,Padang,ID,-0.9492,100.3543,75.25,71,100,2.35,overcast clouds
282,Khirkiya,IN,22.1674,76.8605,69.64,59,3,2.51,clear sky
283,Lewistown,US,40.5992,-77.5714,45.77,42,1,0.0,clear sky
284,Sorland,NO,67.667,12.6934,24.87,55,100,27.94,overcast clouds
285,Koumac,NC,-20.5667,164.2833,76.3,77,98,0.85,overcast clouds
286,Morro Bay,US,35.3658,-120.8499,75.99,27,5,4.0,clear sky
287,Udachnyy,RU,66.4167,112.4,-10.89,93,100,7.27,overcast clouds
288,Cilegon,ID,-6.0174,106.0538,78.69,82,99,7.49,overcast clouds
289,Sobolevo,RU,54.4299,31.8996,33.93,91,98,12.19,overcast clouds
290,Drochtersen,DE,53.7102,9.3846,44.1,94,13,7.54,few clouds
291,Pleasanton,US,37.6624,-121.8747,67.91,30,1,3.0,clear sky
292,Zharkent,KZ,44.1628,80.0,35.73,59,10,2.51,clear sky
293,Gravdal,NO,68.1214,13.5031,29.88,68,20,5.75,few clouds
294,Diego De Almagro,CL,-26.3667,-70.05,80.17,16,0,12.21,clear sky
